date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-11-20,34.55,34.9,34.44,34.64,31264652,31264652,0.13,0.377,34.6376,Nov 20,0
2017-11-21,34.6,34.75,34.29,34.33,35417001,35417001,-0.31,-0.895,34.4853,Nov 21,-0.008949191685912305
2017-11-22,34.28,34.91,34.2,34.87,26453909,26453909,0.54,1.573,34.7361,Nov 22,0.006639722863741249
2017-11-24,34.87,34.95,34.74,34.81,9203078,9203078,-0.06,-0.172,34.8426,Nov 24,0.004907621247113213
2017-11-27,34.84,35.01,34.55,34.68,26793427,26793427,-0.13,-0.373,34.735,Nov 27,0.0011547344110854256
2017-11-28,34.56,35.54,34.56,35.42,34450425,34450425,0.74,2.134,35.127,Nov 28,0.022517321016166315
2017-11-29,35.48,36.55,35.41,36.48,53178129,53178129,1.06,2.993,36.2847,Nov 29,0.053117782909930605
2017-11-30,36.5,36.9,36.025,36.38,49831258,49831258,-0.1,-0.274,36.4722,Nov 30,0.050230946882217145
2017-12-01,36.35,36.75,35.925,36.5,31437115,31437115,0.12,0.33,36.4014,Dec 1,0.053695150115473426
2017-12-04,36.795,37.54,36.75,37.27,40482422,40482422,0.77,2.11,37.3336,Dec 4,0.07592378752886843
2017-12-05,37.2,37.29,36.52,36.55,33055388,33055388,-0.72,-1.932,36.7891,Dec 5,0.05513856812933016
2017-12-06,36.41,36.45,36.025,36.11,31172158,31172158,-0.44,-1.204,36.1714,Dec 6,0.042436489607390264
2017-12-07,36.13,36.4,35.81,36.17,24529301,24529301,0.06,0.166,36.232,Dec 7,0.044168591224018505
2017-12-08,36.16,36.75,36.15,36.73,25507428,25507428,0.56,1.548,36.5133,Dec 8,0.06033487297921467
2017-12-11,36.65,36.94,36.52,36.9,23666709,23666709,0.17,0.463,36.7668,Dec 11,0.06524249422632789
2017-12-12,37.03,38.17,36.98,38.1,46399912,46399912,1.2,3.252,37.7946,Dec 12,0.09988452655889148
2017-12-13,38.01,38.19,37.37,38.04,39671434,39671434,-0.06,-0.157,37.88,Dec 13,0.09815242494226324
2017-12-14,37.835,38.1556,37.68,37.74,34286518,34286518,-0.3,-0.789,37.8561,Dec 14,0.08949191685912244
2017-12-15,38.08,38.29,37.93,38.24,46808578,46808578,0.5,1.325,38.191,Dec 15,0.10392609699769056
2017-12-18,38.51,38.89,38.385,38.46,31497249,31497249,0.22,0.575,38.5472,Dec 18,0.11027713625866052
