date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-12-19,41.67,42.18,41.45,42.12,20563919,20563919,0.45,1.08,41.9593,"Dec 19, 16",0
2016-12-20,42.17,42.76,42.14,42.47,21164413,21164413,0.35,0.831,42.5174,"Dec 20, 16",0.00830959164292501
2016-12-21,42.42,42.57,42.33,42.36,13752986,13752986,-0.11,-0.259,42.4359,"Dec 21, 16",0.005698005698005746
2016-12-22,42.24,42.78,42.16,42.72,17560579,17560579,0.36,0.85,42.6164,"Dec 22, 16",0.01424501424501428
2016-12-23,42.79,42.8,42.47,42.73,9645385,9645385,0.01,0.023,42.6382,"Dec 23, 16",0.014482431149097802
2016-12-27,42.73,42.84,42.52,42.65,11432741,11432741,-0.08,-0.187,42.6505,"Dec 27, 16",0.012583095916429277
2016-12-28,42.65,42.82,42.47,42.52,11026941,11026941,-0.13,-0.305,42.5839,"Dec 28, 16",0.009496676163342965
2016-12-29,42.53,42.8,42.53,42.66,12389183,12389183,0.14,0.329,42.6913,"Dec 29, 16",0.012820512820512801
2016-12-30,42.76,42.83,42.45,42.53,16674019,16674019,-0.13,-0.305,42.5653,"Dec 30, 16",0.009734093067426489
2017-01-03,42.69,43.03,42.52,43.02,26006613,26006613,0.49,1.152,42.8223,"Jan 3, 17",0.021367521367521503
2017-01-04,42.94,43,42.71,42.77,23203010,23203010,-0.25,-0.581,42.7989,"Jan 4, 17",0.015432098765432235
2017-01-05,42.85,42.89,42.53,42.65,25711211,25711211,-0.12,-0.281,42.6605,"Jan 5, 17",0.012583095916429277
2017-01-06,41.98,42,41.21,41.32,32687866,32687866,-1.33,-3.118,41.504,"Jan 6, 17",-0.018993352326685593
2017-01-09,41.29,41.395,40.8,40.8,25484735,25484735,-0.52,-1.258,41.007,"Jan 9, 17",-0.03133903133903135
2017-01-10,40.66,41.06,40.24,40.81,21521928,21521928,0.01,0.025,40.8222,"Jan 10, 17",-0.031101614434947654
2017-01-11,40.38,40.7,40.28,40.61,24536368,24536368,-0.2,-0.49,40.5168,"Jan 11, 17",-0.03584995251661914
2017-01-12,40.57,41.11,40.5,41.01,19900273,19900273,0.4,0.985,40.9018,"Jan 12, 17",-0.02635327635327634
2017-01-13,40.92,41.18,40.79,40.96,13932163,13932163,-0.05,-0.122,40.9334,"Jan 13, 17",-0.027540360873694127
2017-01-17,41,41.14,40.76,41.11,22535807,22535807,0.15,0.366,40.9735,"Jan 17, 17",-0.0239791073124406
2017-01-18,41.15,41.24,40.775,40.8,19476461,19476461,-0.31,-0.754,40.9329,"Jan 18, 17",-0.03133903133903135
2017-01-19,40.89,41.02,40.71,41,16693296,16693296,0.2,0.49,40.9033,"Jan 19, 17",-0.026590693257359865
2017-01-20,41.33,41.87,41.29,41.45,25164892,25164892,0.45,1.098,41.5572,"Jan 20, 17",-0.015906932573599115
2017-01-23,41.46,42.07,41.39,42,25211309,25211309,0.55,1.327,41.8014,"Jan 23, 17",-0.0028490028490027884
2017-01-24,41.4,41.74,41.05,41.36,28700959,28700959,-0.64,-1.524,41.3047,"Jan 24, 17",-0.01804368471035133
2017-01-25,41.33,41.47,40.89,41.39,21460549,21460549,0.03,0.073,41.3215,"Jan 25, 17",-0.017331433998100592
2017-01-26,41.17,41.85,40.96,41.77,28137256,28137256,0.38,0.918,41.513,"Jan 26, 17",-0.008309591642924842
2017-01-27,41.98,42.3,41.75,42.01,19017620,19017620,0.24,0.575,41.9747,"Jan 27, 17",-0.002611585944919265
2017-01-30,41.94,42.13,41.66,41.82,15876087,15876087,-0.19,-0.452,41.8103,"Jan 30, 17",-0.007122507122507056
2017-01-31,41.68,42.19,41.58,42.16,25405353,25405353,0.34,0.813,42.056,"Jan 31, 17",0.0009496676163342628
2017-02-01,42.28,42.46,41.86,42.06,32082528,32082528,-0.1,-0.237,42.1143,"Feb 1, 17",-0.0014245014245013099
2017-02-02,42.02,42.07,40.95,41.18,29154279,29154279,-0.88,-2.092,41.2544,"Feb 2, 17",-0.0223171889838556
2017-02-03,41.48,41.52,41.2,41.25,19151025,19151025,0.07,0.17,41.3173,"Feb 3, 17",-0.020655270655270595
2017-02-06,41.27,41.27,40.98,41.06,11374910,11374910,-0.19,-0.461,41.0939,"Feb 6, 17",-0.025166191832858387
2017-02-07,41.08,41.17,40.82,41.12,17312056,17312056,0.06,0.146,41.0402,"Feb 7, 17",-0.023741690408357077
2017-02-08,41.17,41.32,41.07,41.21,15688281,15688281,0.09,0.219,41.2046,"Feb 8, 17",-0.021604938271604857
2017-02-09,41.27,41.43,41.13,41.31,11362445,11362445,0.1,0.243,41.294,"Feb 9, 17",-0.019230769230769117
2017-02-10,41.25,41.43,41.2,41.38,12135621,12135621,0.07,0.169,41.3587,"Feb 10, 17",-0.017568850902184116
2017-02-13,40.82,41.14,40.49,40.65,34361092,34361092,-0.73,-1.764,40.7066,"Feb 13, 17",-0.03490028490028488
2017-02-14,40.47,40.78,40.41,40.75,19705296,19705296,0.1,0.246,40.6083,"Feb 14, 17",-0.03252611585944913
2017-02-15,40.66,41.14,40.56,41.12,23322451,23322451,0.37,0.908,40.8891,"Feb 15, 17",-0.023741690408357077
2017-02-16,41.12,41.36,41.03,41.25,16579673,16579673,0.13,0.316,41.2013,"Feb 16, 17",-0.020655270655270595
2017-02-17,41.17,41.535,40.79,41.48,24156415,24156415,0.23,0.558,41.219,"Feb 17, 17",-0.015194681861348543
2017-02-21,41.37,41.75,41.32,41.73,17504381,17504381,0.25,0.603,41.6415,"Feb 21, 17",-0.009259259259259273
2017-02-22,41.68,41.78,41.45,41.59,15656507,15656507,-0.14,-0.335,41.583,"Feb 22, 17",-0.012583095916429109
2017-02-23,41.69,41.99,41.54,41.95,19218542,19218542,0.36,0.866,41.8297,"Feb 23, 17",-0.004036087369420575
2017-02-24,42.11,42.36,42.04,42.36,17043175,17043175,0.41,0.977,42.2349,"Feb 24, 17",0.005698005698005746
2017-02-27,42.3,42.3,41.73,41.82,17338483,17338483,-0.54,-1.275,41.8739,"Feb 27, 17",-0.007122507122507056
2017-02-28,41.73,41.87,41.64,41.79,19338619,19338619,-0.03,-0.072,41.7649,"Feb 28, 17",-0.007834757834757795
2017-03-01,41.78,42.18,41.56,42.04,23900989,23900989,0.25,0.598,41.9792,"Mar 1, 17",-0.0018993352326685255
2017-03-02,41.9,42.1,41.84,42.07,13183187,13183187,0.03,0.071,41.9969,"Mar 2, 17",-0.0011870845204177863
2017-03-03,42.05,42.06,41.76,42.01,17248209,17248209,-0.06,-0.143,41.9283,"Mar 3, 17",-0.002611585944919265
2017-03-06,41.83,42,41.71,41.96,14177020,14177020,-0.05,-0.119,41.8551,"Mar 6, 17",-0.003798670465337051
2017-03-07,41.9,41.99,41.715,41.88,16250878,16250878,-0.08,-0.191,41.8421,"Mar 7, 17",-0.005698005698005577
2017-03-08,41.88,41.88,41.68,41.77,17881049,17881049,-0.11,-0.263,41.7645,"Mar 8, 17",-0.008309591642924842
2017-03-09,41.86,42.13,41.75,41.94,17672624,17672624,0.17,0.407,41.9549,"Mar 9, 17",-0.004273504273504267
2017-03-10,42.03,42.43,42.02,42.35,19734281,19734281,0.41,0.978,42.3024,"Mar 10, 17",0.005460588793922222
2017-03-13,42.22,42.42,42.18,42.37,14884180,14884180,0.02,0.047,42.3219,"Mar 13, 17",0.005935422602089269
2017-03-14,42.38,42.44,42.05,42.09,10063834,10063834,-0.28,-0.661,42.1437,"Mar 14, 17",-0.0007122507122505706
2017-03-15,42.14,42.64,42.09,42.59,21055944,21055944,0.5,1.188,42.4192,"Mar 15, 17",0.011158594491927968
2017-03-16,42.6,42.66,42.34,42.44,14601773,14601773,-0.15,-0.352,42.4688,"Mar 16, 17",0.007597340930674271
2017-03-17,42.59,42.65,42.37,42.61,24748927,24748927,0.17,0.401,42.5749,"Mar 17, 17",0.011633428300095014
2017-03-20,42.61,42.7,42.32,42.42,11851848,11851848,-0.19,-0.446,42.4569,"Mar 20, 17",0.007122507122507224
2017-03-21,42.45,42.51,42,42.08,20299031,20299031,-0.34,-0.802,42.179,"Mar 21, 17",-0.0009496676163342628
2017-03-22,42.1,42.12,41.46,41.65,18547120,18547120,-0.43,-1.022,41.7069,"Mar 22, 17",-0.0111585944919278
2017-03-23,41.63,41.91,41.41,41.65,14660394,14660394,0,0,41.6875,"Mar 23, 17",-0.0111585944919278
2017-03-24,41.76,41.89,41.54,41.68,14202031,14202031,0.03,0.072,41.7087,"Mar 24, 17",-0.01044634377967706
2017-03-27,41.59,41.75,41.38,41.49,13185156,13185156,-0.19,-0.456,41.5147,"Mar 27, 17",-0.01495726495726485
2017-03-28,41.41,41.61,41.26,41.56,15586112,15586112,0.07,0.169,41.4519,"Mar 28, 17",-0.013295346628679847
2017-03-29,41.54,41.75,41.4,41.45,14104170,14104170,-0.11,-0.265,41.5466,"Mar 29, 17",-0.015906932573599115
2017-03-30,41.39,41.829,41.3267,41.76,14773877,14773877,0.31,0.748,41.6384,"Mar 30, 17",-0.008547008547008534
2017-03-31,41.79,41.89,41.55,41.55,17533497,17533497,-0.21,-0.503,41.6835,"Mar 31, 17",-0.01353276353276354
2017-04-03,41.6,41.77,41.37,41.57,17979634,17979634,0.02,0.048,41.513,"Apr 3, 17",-0.013057929724596325
